date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Thu May 06 14:06:11 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HED4
",TRUE,TRUE,TRUE,782 000,https://www.immotop.lu/properties/used/apartment/2491384,73,,NA,-1,1,"85. -""",0,0,0,0,-1,0,0.7,-1
Thu May 06 14:05:16 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HE6D
",TRUE,TRUE,TRUE,839 000,https://www.immotop.lu/properties/used/apartment/2491141,11,,2,-1,0,90. Ch,0,0,0,0,2,0,0.6,2
Thu May 06 14:09:23 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HCIJ
",TRUE,TRUE,TRUE,946 910,https://www.immotop.lu/properties/used/apartment/2488987,273,,2,-1,0,77. Ch,0,0,0,0,-1,0,0.6,2
Thu May 06 14:09:23 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HCIG
",TRUE,TRUE,TRUE,949 580,https://www.immotop.lu/properties/used/apartment/2488984,273,,1,-1,0,75.92.,0,0,0,0,-1,0,0.6,1
Thu May 06 14:09:23 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HCID
",TRUE,TRUE,TRUE,946 910,https://www.immotop.lu/properties/used/apartment/2488981,273,,2,-1,0,76.84.,0,0,0,0,-1,0,0.6,2
Thu May 06 14:09:23 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HCI7
",TRUE,TRUE,TRUE,949 580,https://www.immotop.lu/properties/used/apartment/2488975,273,,1,-1,0,76. Ch,0,0,0,0,-1,0,0.6,1
Thu May 06 14:08:19 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1HEB1
",TRUE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2491309,207,,1,-1,1,46.49.,0,1,0,0,2,0,0.55,1
Thu May 06 14:08:19 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1HEAY
",TRUE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2491306,207,,1,-1,1,46.49.,0,1,0,0,1,0,0.55,1
Thu May 06 14:08:19 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1HEAV
",TRUE,FALSE,TRUE,806 987,https://www.immotop.lu/properties/new/apartment/2491303,207,,1,-1,1,46.49.,0,1,0,0,-1,0,0.55,1
Thu May 06 14:05:17 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
1HCZM
",TRUE,FALSE,TRUE,863 096,https://www.immotop.lu/properties/new/apartment/2489602,12,,1,-1,1,78. Ch,0,0,0,0,-1,0,0.5,1
Thu May 06 14:05:17 2021,"
Duplex à vendre à LUXEMBOURG-BELAIR
1HCZP
",TRUE,FALSE,TRUE,1 765 971,https://www.immotop.lu/properties/new/apartment/duplex/2489605,12,,3,-1,1,147. C,0,0,0,0,-1,0,0.49999999999999994,3
Thu May 06 14:06:20 2021,"
Immeuble de rapport à vendre à LUXEMBOURG-LIMPERTSBERG
1HCCA
",TRUE,FALSE,TRUE,1 610 000,https://www.immotop.lu/properties/new/building-of-flats/2488762,84,,3,1980,1,150. C,0,0,0,0,-1,0,0.49999999999999994,3
Thu May 06 14:08:21 2021,"
Appartement à vendre à LUXEMBOURG-GARE
1HE91
",TRUE,FALSE,TRUE,970 000,https://www.immotop.lu/properties/used/apartment/2491237,210,,2,1990,0,90. Ch,0,1,0,0,1,0,0.45000000000000007,2
Thu May 06 14:10:03 2021,"
Parking à vendre à LUXEMBOURG-MERL
1HBKY
",TRUE,FALSE,TRUE,69 000,https://www.immotop.lu/properties/used/garage/parking/2487778,314,,NA,-1,0,NA,0,1,0,0,-1,0,0.45000000000000007,-1
