date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri Apr 30 13:28:09 2021,"
Duplex à vendre à LUXEMBOURG-BONNEVOIE
1H6YD
",TRUE,FALSE,TRUE,980 000,https://www.immotop.lu/properties/used/apartment/duplex/2481781,222,,3,2000,0,105. C,0,1,0,0,3,0,0.55,3
Fri Apr 30 13:27:38 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1H791
",TRUE,TRUE,TRUE,799 999,https://www.immotop.lu/properties/used/apartment/2482165,196,,2,2010,0,70. Ch,0,0,0,0,3,0,0.5,2
Fri Apr 30 13:23:46 2021,"
Appartement à vendre à LUXEMBOURG-CENTRE
1H73J
",TRUE,FALSE,TRUE,928 000,https://www.immotop.lu/properties/new/apartment/2481967,9,,1,-1,0,77. Ch,0,1,0,0,2,0,0.45000000000000007,1
Fri Apr 30 13:25:08 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H731
",TRUE,FALSE,TRUE,860 000,https://www.immotop.lu/properties/used/apartment/2481949,76,,2,1988,0,85. Ch,0,1,0,0,1,0,0.45000000000000007,2
Fri Apr 30 13:27:59 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
1H714
",TRUE,FALSE,TRUE,0,https://www.immotop.lu/properties/used/apartment/2481880,214,,2,1956,0,103. C,0,1,0,0,-1,0,0.45000000000000007,2
Fri Apr 30 13:28:25 2021,"
Emplacement intérieur à vendre à LUXEMBOURG-GARE
1H6V4
",TRUE,FALSE,TRUE,45 000,https://www.immotop.lu/properties/used/garage/covered-parking/2481664,235,,NA,1974,0,NA,0,1,0,0,-1,0,0.45000000000000007,-1
Fri Apr 30 13:29:04 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H5RD
",TRUE,FALSE,TRUE,806 987,https://www.immotop.lu/properties/new/apartment/2480233,268,,1,-1,0,46.49.,0,1,0,0,-1,0,0.45000000000000007,1
Fri Apr 30 13:29:04 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H5RA
",TRUE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2480230,268,,1,-1,0,46.49.,0,1,0,0,1,0,0.45000000000000007,1
Fri Apr 30 13:29:04 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H5R7
",TRUE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2480227,268,,1,-1,0,46.49.,0,1,0,0,2,0,0.45000000000000007,1
Fri Apr 30 13:27:45 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
1H75P
",TRUE,FALSE,TRUE,1 790 000,https://www.immotop.lu/properties/used/apartment/2482045,202,,3,2017,1,160.61,0,1,0,0,-1,0,0.45,3
