date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 21 16:09:17 2021,"Maison à vendre à LUXEMBOURG-DOMMELDANGE
1HSTV",FALSE,FALSE,TRUE,2 470 517.50,https://www.immotop.lu/properties/new/house/2510131,86,,4,2021,1,200. C,0,0,0,0,-1,0,0.49999999999999994,4
Fri May 21 16:09:17 2021,"Maison à vendre à LUXEMBOURG-DOMMELDANGE
1HSSP",FALSE,FALSE,TRUE,2 470 517.50,https://www.immotop.lu/properties/new/house/2510089,86,,4,2021,1,200. C,0,0,0,0,-1,0,0.49999999999999994,4
Fri May 21 16:09:17 2021,"Maison à vendre à LUXEMBOURG-DOMMELDANGE
1HPZY",FALSE,FALSE,TRUE,2 711 087.50,https://www.immotop.lu/properties/new/house/2506462,86,,4,2021,1,200. C,0,0,0,0,-1,0,0.49999999999999994,4
Fri May 21 16:11:07 2021,"Maison à vendre à LUXEMBOURG-CESSANGE
1HUCS",FALSE,FALSE,TRUE,1 590 000,https://www.immotop.lu/properties/new/house/2512108,231,,3,-1,1,166. C,0,1,0,0,-1,0,0.49999999999999994,3
Fri May 21 16:12:11 2021,"Maison à vendre à LUXEMBOURG-DOMMELDANGE
1HSUD",FALSE,FALSE,TRUE,2 470 517.50,https://www.immotop.lu/properties/new/house/2510149,301,,4,2021,1,200. C,0,0,0,0,-1,0,0.49999999999999994,4
Fri May 21 16:11:08 2021,"Appartement à vendre à LUXEMBOURG-CENTRE
1HUCD",TRUE,FALSE,TRUE,990 000,https://www.immotop.lu/properties/new/apartment/2512093,232,,1,-1,0,80. Ch,0,1,0,0,4,0,0.4,1
Fri May 21 16:11:08 2021,"Appartement à vendre à LUXEMBOURG-BEGGEN
1HUC4",FALSE,FALSE,TRUE,980 000,https://www.immotop.lu/properties/used/apartment/2512084,232,,2,2015,0,100. C,0,0,0,0,2,0,0.4,2
Fri May 21 16:08:17 2021,"Appartement à vendre à LUXEMBOURG-BONNEVOIE
1HU27",FALSE,FALSE,TRUE,998 000,https://www.immotop.lu/properties/used/apartment/2511727,11,,2,2012,0,93. Ch,0,0,0,0,1,0,0.35000000000000003,2
Fri May 21 16:11:15 2021,"Maison à vendre à LUXEMBOURG-HAMM
1HU74",FALSE,FALSE,TRUE,1 550 000,https://www.immotop.lu/properties/used/house/2511904,237,,4,-1,0,170. C,0,0,0,0,-1,0,0.3499999999999999,4
Fri May 21 16:09:15 2021,"Appartement à vendre à LUXEMBOURG-GASPERICH
1HU2A",FALSE,FALSE,TRUE,1 498 000,https://www.immotop.lu/properties/used/apartment/2511730,83,,2,2018,0,97.53.,0,0,0,0,6,0,0.25,2
Fri May 21 16:11:20 2021,"Résidence à vendre à LUXEMBOURG-WEIMERSKIRCH
1HU2G",FALSE,FALSE,TRUE,de 778 140  à 789 194,https://www.immotop.lu/properties/new/residence/2511736,246,,NA,-1,1,-999,0,0,0,0,-1,0,0.2499999999999998,-1
Fri May 21 16:11:20 2021,"Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1HU2M",FALSE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2511742,246,,1,-1,1,46.49.,0,1,0,0,2,0,0.15000000000000002,1
Fri May 21 16:11:20 2021,"Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1HU2J",FALSE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2511739,246,,1,-1,1,46.49.,0,1,0,0,1,0,0.15000000000000002,1
Fri May 21 16:11:40 2021,"Appartement à vendre à LUXEMBOURG-HOLLERICH
1HTOD",FALSE,FALSE,TRUE,665 000,https://www.immotop.lu/properties/used/apartment/2511229,269,,1,-1,1,57. Ch,0,1,0,0,-1,0,0.09999999999999998,1
Fri May 21 16:09:16 2021,"Appartement à vendre à LUXEMBOURG-HOLLERICH
1HTOA",FALSE,FALSE,TRUE,595 000,https://www.immotop.lu/properties/used/apartment/2511226,84,,1,-1,1,57. Ch,0,0,0,0,-1,0,0.04999999999999999,1
