date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Mon May 03 14:46:32 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1H7JD
",TRUE,TRUE,TRUE,695 000,https://www.immotop.lu/properties/used/apartment/2482537,334,,2,2011,1,85. Ch,0,0,0,0,-1,0,0.6,2
Mon May 03 14:45:08 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H7CY
",TRUE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2482306,236,,1,-1,1,46.49.,0,1,0,0,2,0,0.55,1
Mon May 03 14:45:08 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H7CV
",TRUE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2482303,236,,1,-1,1,46.49.,0,1,0,0,1,0,0.55,1
Mon May 03 14:45:08 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H7CS
",TRUE,FALSE,TRUE,806 987,https://www.immotop.lu/properties/new/apartment/2482300,236,,1,-1,1,46.49.,0,1,0,0,-1,0,0.55,1
Mon May 03 14:42:02 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1H7F1
",TRUE,TRUE,TRUE,850 000,https://www.immotop.lu/properties/used/apartment/2482381,24,,2,2004,0,86. Ch,0,0,0,0,1,0,0.5,2
Mon May 03 14:44:43 2021,"
Appartement à vendre à LUXEMBOURG-GARE
1H9IP
",TRUE,FALSE,TRUE,545 000,https://www.immotop.lu/properties/used/apartment/2485105,206,,1,1966,1,45.31.,0,0,0,0,2,0,0.5,1
Mon May 03 14:46:26 2021,"
Appartement à vendre à LUXEMBOURG-HOLLERICH
1H7RJ
",TRUE,FALSE,TRUE,895 000,https://www.immotop.lu/properties/used/apartment/2482831,324,,2,1947,1,86. Ch,0,0,0,0,-1,0,0.5,2
Mon May 03 14:45:27 2021,"
Maison mitoyenne à vendre à LUXEMBOURG-CENTS
1H9AD
",TRUE,TRUE,TRUE,1 750 000,https://www.immotop.lu/properties/used/house/joint-house/2484805,256,,4,1955,1,165. C,0,0,0,0,-1,1,0.49999999999999994,4
Mon May 03 15:05:02 2021,"
Maison de maître à vendre à LUXEMBOURG-LIMPERTSBERG
1C8CY
",TRUE,FALSE,TRUE,1 895 000,https://www.immotop.lu/properties/used/house/house-of-master/2250322,1685,,3,-1,1,160. C,0,0,0,0,2,0,0.49999999999999994,3
Mon May 03 14:42:04 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1H7BP
",TRUE,FALSE,TRUE,860 000,https://www.immotop.lu/properties/used/apartment/2482261,26,,2,1990,0,85. Ch,0,1,0,0,1,0,0.45000000000000007,2
