date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Mon May 10 17:08:24 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1HIMJ
",TRUE,TRUE,TRUE,639 000,https://www.immotop.lu/properties/used/apartment/2496907,211,,1,2000,1,63. Ch,0,1,0,0,-1,0,0.65,1
Mon May 10 17:29:59 2021,"
Maison à vendre à LUXEMBOURG-CENTS
1CLB4
",TRUE,TRUE,TRUE,1 765 000,https://www.immotop.lu/properties/used/house/2267104,1741,,4,1960,1,175. C,0,0,0,0,-1,0,0.49999999999999994,4
Mon May 10 17:09:08 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1HI7A
",TRUE,FALSE,TRUE,1 195 000,https://www.immotop.lu/properties/used/apartment/2496358,259,,3,-1,0,110. C,0,1,0,0,1,0,0.45,3
Mon May 10 17:08:17 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1HIT1
",TRUE,FALSE,TRUE,599 000,https://www.immotop.lu/properties/used/apartment/2497141,203,,1,-1,0,58. Ch,0,0,0,0,-1,0,0.4000000000000001,1
Mon May 10 17:08:18 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1HISS
",TRUE,FALSE,TRUE,550 000,https://www.immotop.lu/properties/used/apartment/2497132,204,,1,1950,0,50. Ch,0,0,0,0,1,0,0.4000000000000001,1
Mon May 10 17:21:17 2021,"
Bureau à vendre à LUXEMBOURG-BEGGEN
1G9Q7
",TRUE,FALSE,TRUE,790 000,https://www.immotop.lu/properties/used/commercial-property/office/2438719,1109,,NA,-1,0,NA,0,0,0,0,-1,0,0.4000000000000001,-1
Mon May 10 17:05:28 2021,"
Maison à vendre à LUXEMBOURG-GASPERICH
1HIOG
",TRUE,FALSE,TRUE,1 150 000,https://www.immotop.lu/properties/used/house/2496976,10,,3,1960,0,120. C,0,0,0,0,2,0,0.39999999999999997,3
Mon May 10 17:08:38 2021,"
Appartement à vendre à LUXEMBOURG-CESSANGE
1HIAS
",TRUE,FALSE,TRUE,950 000,https://www.immotop.lu/properties/new/apartment/2496484,223,,2,2021,0,74. Ch,0,1,0,0,4,0,0.3500000000000001,2
Mon May 10 17:10:09 2021,"
Appartement à vendre à LUXEMBOURG-HAMM
1HHAM
",TRUE,FALSE,TRUE,867 000,https://www.immotop.lu/properties/used/apartment/2495182,331,,2,2016,0,73.7. ,0,1,0,0,2,0,0.3500000000000001,2
Mon May 10 17:08:31 2021,"
Duplex à vendre à LUXEMBOURG-BONNEVOIE
1HIIJ
",TRUE,FALSE,TRUE,1 400 000,https://www.immotop.lu/properties/new/apartment/duplex/2496763,217,,3,2021,0,91. Ch,0,1,0,0,-1,0,0.35000000000000003,3
Mon May 10 17:08:38 2021,"
Duplex à vendre à LUXEMBOURG-BONNEVOIE
1HIA4
",TRUE,FALSE,TRUE,1 550 000,https://www.immotop.lu/properties/new/apartment/duplex/2496460,223,,3,2021,0,117. C,0,1,0,0,-1,0,0.35000000000000003,3
Mon May 10 17:08:29 2021,"
Maison jumelée à vendre à LUXEMBOURG-HAMM
1HILV
",TRUE,FALSE,TRUE,1 485 000,https://www.immotop.lu/properties/used/house/semi-detached-house/2496883,214,,4,1995,1,130. C,0,0,0,0,2,0,0.3,4
Mon May 10 17:08:23 2021,"
Triplex à vendre à LUXEMBOURG-ROLLINGERGRUND
1HIOM
",TRUE,FALSE,TRUE,1 510 000,https://www.immotop.lu/properties/new/apartment/triplex/2496982,210,,4,2015,1,163.71,0,1,0,0,-1,0,0.25000000000000006,4
Mon May 10 17:10:00 2021,"
Maison à vendre à LUXEMBOURG-HOLLERICH
1HHCS
",TRUE,FALSE,TRUE,2 750 000,https://www.immotop.lu/properties/used/house/2495260,319,,4,-1,0,226. C,0,0,0,0,-1,0,0.20000000000000007,4
Mon May 10 17:05:41 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HHAP
",TRUE,FALSE,TRUE,1 050 000,https://www.immotop.lu/properties/used/apartment/2495185,25,,2,2017,0,86. Ch,0,1,0,0,2,0,0.15000000000000008,2
