date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 07 23:40:16 2021,"
Studio à vendre à LUXEMBOURG-GASPERICH
1HEQA
",TRUE,FALSE,TRUE,395 792,https://www.immotop.lu/properties/new/apartment/flat/2491858,289,,NA,-1,0,28.66.,0,0,0,0,2,0,0.4000000000000001,-1
Fri May 07 23:40:16 2021,"
Studio à vendre à LUXEMBOURG-GASPERICH
1HEQ1
",TRUE,FALSE,TRUE,396 206,https://www.immotop.lu/properties/new/apartment/flat/2491849,289,,NA,-1,0,28.69.,0,0,0,0,1,0,0.4000000000000001,-1
Fri May 07 23:40:16 2021,"
Studio à vendre à LUXEMBOURG-GASPERICH
1HEPY
",TRUE,FALSE,TRUE,547 376,https://www.immotop.lu/properties/new/apartment/flat/2491846,289,,NA,-1,0,33.61.,0,0,0,0,4,0,0.4000000000000001,-1
Fri May 07 23:40:16 2021,"
Studio à vendre à LUXEMBOURG-GASPERICH
1HEPV
",TRUE,FALSE,TRUE,547 525,https://www.immotop.lu/properties/new/apartment/flat/2491843,289,,NA,-1,0,33.62.,0,0,0,0,2,0,0.4000000000000001,-1
Fri May 07 23:40:16 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEPS
",TRUE,FALSE,TRUE,549 863,https://www.immotop.lu/properties/new/apartment/2491840,289,,1,-1,0,40.32.,0,0,0,0,5,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEPM
",TRUE,FALSE,TRUE,544 892,https://www.immotop.lu/properties/new/apartment/2491834,290,,1,-1,0,40.32.,0,0,0,0,4,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEPJ
",TRUE,FALSE,TRUE,548 454,https://www.immotop.lu/properties/new/apartment/2491831,290,,1,-1,0,40.22.,0,0,0,0,5,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEPG
",TRUE,FALSE,TRUE,543 495,https://www.immotop.lu/properties/new/apartment/2491828,290,,1,-1,0,40.22.,0,0,0,0,4,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEPD
",TRUE,FALSE,TRUE,538 536,https://www.immotop.lu/properties/new/apartment/2491825,290,,1,-1,0,40.22.,0,0,0,0,3,0,0.4000000000000001,1
Fri May 07 23:40:17 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEPA
",TRUE,FALSE,TRUE,539 922,https://www.immotop.lu/properties/new/apartment/2491822,290,,1,-1,0,40.32.,0,0,0,0,3,0,0.4000000000000001,1
