date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Tue May 04 21:46:00 2021,"
Duplex à vendre à LUXEMBOURG-BEGGEN
1HA1M
",TRUE,FALSE,TRUE,998 000,https://www.immotop.lu/properties/used/apartment/duplex/2485786,21,,3,1993,0,124. C,0,0,0,0,2,0,0.6,3
Tue May 04 21:48:31 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1HAXG
",TRUE,FALSE,TRUE,1 590 000,https://www.immotop.lu/properties/new/house/2486932,212,,3,-1,1,166. C,0,1,0,0,-1,0,0.55,3
Tue May 04 21:48:50 2021,"
Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1HAN4
",TRUE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2486560,236,,1,-1,1,46.49.,0,1,0,0,2,0,0.55,1
Tue May 04 21:48:50 2021,"
Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1HAN1
",TRUE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2486557,236,,1,-1,1,46.49.,0,1,0,0,1,0,0.55,1
Tue May 04 21:48:50 2021,"
Appartement à vendre à LUXEMBOURG-WEIMERSKIRCH
1HAMY
",TRUE,FALSE,TRUE,806 987,https://www.immotop.lu/properties/new/apartment/2486554,236,,1,-1,1,46.49.,0,1,0,0,-1,0,0.55,1
Tue May 04 21:49:14 2021,"
Appartement à vendre à LUXEMBOURG-EICH
1HA21
",TRUE,FALSE,TRUE,759 000,https://www.immotop.lu/properties/new/apartment/2485801,266,,1,-1,1,66.66.,0,1,0,0,-1,0,0.55,1
Tue May 04 21:49:08 2021,"
Studio à vendre à LUXEMBOURG-EICH
1HABS
",TRUE,FALSE,TRUE,573 000,https://www.immotop.lu/properties/new/apartment/flat/2486152,258,,NA,-1,1,39.25.,0,0,0,0,3,0,0.5,-1
Tue May 04 21:49:08 2021,"
Studio à vendre à LUXEMBOURG-EICH
1HABM
",TRUE,FALSE,TRUE,492 000,https://www.immotop.lu/properties/new/apartment/flat/2486146,258,,NA,-1,1,30.76.,0,0,0,0,3,0,0.5,-1
Tue May 04 21:49:09 2021,"
Studio à vendre à LUXEMBOURG-EICH
1HAB1
",TRUE,FALSE,TRUE,617 000,https://www.immotop.lu/properties/new/apartment/flat/2486125,259,,NA,-1,1,45.05.,0,0,0,0,2,0,0.5,-1
Tue May 04 21:49:09 2021,"
Studio à vendre à LUXEMBOURG-EICH
1HAAV
",TRUE,FALSE,TRUE,481 000,https://www.immotop.lu/properties/new/apartment/flat/2486119,259,,NA,-1,1,30.7. ,0,0,0,0,2,0,0.5,-1
